id,course_specific_id,gender,year_of_birth,level_of_education,q1,q2,q3
9687a7be5299210f28350aeabc3501cf4d752043422358e0d13970681ccd606e,df0db3efd758cbfc0537f96b495047d3,m,1990,m,[u'choice_1'],choice_1,[u'choice_2']
97130cb11b75b4d6493ca55dd10fd49d90037753486df2e3490cb6342aabb4af,8b3b9c5795d13d2085c20c12d5988d30,m,1990,m,[u'choice_0'],choice_0,[u'choice_0']
1d0a85f5ebcc8dea162d36757fac2f0e7054e8ba99ae1c5d6dd83197116a59be,3bc1cf4ffa758c563c0ddb8d0107adc1,m,1966,b,[u'choice_5'],choice_1,[u'choice_0']
d51a63dbaf836c5bf584d3d876c824065caa00a6609225d58adc3ffc8f869778,8b918d048906a32d0bdff0bd66213b3f,m,1973,m,[u'choice_0'],choice_1,[u'choice_0']
caf3aca1534c554d9653cf622277753df57bc3361ae65b6a91439d5d22708741,00ff082cd3c5788f13a58eb6552720e0,m,1985,m,[u'choice_0'],choice_1,[u'choice_0']
44223ca878750ecd844b17e17d6777892f03d2b6c9bd5bf89d2e1a2c40ddf6ff,ded7d7ffc317653eb1b1c15e48e1d62f,m,1971,m,[u'choice_0'],choice_1,[u'choice_0']
901c98deeb0b8997f539c7120bffffa158f5cdf7650a15435afd6922552a2948,05560ff19f839575c6caf28525200e67,m,1971,hs,[u'choice_0'],choice_1,[u'choice_0']
b95f74cc5c27922896cb6b729a52310e4b2dc385335eaa4a5d7b971781558a28,3f50a1897c2bce44ba5edb91927282db,m,1994,m,"[u'choice_4', u'choice_6']",choice_1,[u'choice_0']
18817feabc9a97ffb9a8e553e5331b747844ce8ba01ef449482bc99bda1f1680,7ad8cea0e783a5726cb42c0cb3f04678,m,1984,jhs,[u'choice_4'],choice_1,[u'choice_0']
2d94e760fe7ee90fb30c2396b8fa56957a9d64b0b0a99419952630b75bcf62d8,61264af74de37a605e614e8562da9263,m,1978,jhs,[u'choice_0'],choice_0,[u'choice_0']
1d59e8cea61e8f45c9993bfacce5fe87a9620506d8fdc54dc5f5a452c4916370,c3a567965cb624bdf28dce00a67e6577,f,1993,b,[u'choice_0'],choice_1,[u'choice_0']
c286c687a489882713ec1e33718c48c3b83b8101d946cee9df827e6d2804dd23,de25b6751842535224bb4b972e0208ed,m,1982,m,"[u'choice_6', u'choice_7']",choice_1,[u'choice_0']
2ab7553dc550d45dff48ae1629332ff10a3c31457f9596a6d8e03b055aca3996,4fd6b1b3b87f435d9f8487992d91a0e2,m,1985,m,[u'choice_4'],choice_1,[u'choice_0']
2d76bc0074439c2939bd1ea9d82cc511fd11d63cffa374cb76db5b67255f04cc,090f3dbcf9dc1fcb3f25823875ca522f,m,1965,p,[u'choice_0'],choice_1,[u'choice_0']
3647f0800fa93bf12e990e8e774d584e494586c1841760784288a8164ae557ce,fe330acfa7a510f5b4819098b6f9620c,m,1984,hs,[u'choice_0'],choice_0,[u'choice_0']
cd76408e493a7cdf7d7586204f8217479a56c26cd65f26787345cc42d03702f1,da6bf4af311e4fdaa4161f9c44b3d40c,m,1993,jhs,[u'choice_6'],choice_0,[u'choice_0']
0afd3dfc6e2c74ebc53653743ce4e4fbec2d305ab4e014cc2f858dcb08167d89,deeacf6f10d0a3e430d4258167205cef,m,1977,m,[u'choice_0'],choice_1,[u'choice_0']
c390f6b8e2b53dbc330a07fb660acc30170e87deb747bed229363b542571a474,a11e25637f68f82d7632611181280265,m,1975,jhs,[u'choice_0'],choice_0,[u'choice_0']
29a5bae63b2b7bb9ffcc212d271ec5c50c9cfe43881e921d6c1a3c75aed0f680,bbec6b59f9a6fd6d3a7467623b3c51ce,m,1985,a,[u'choice_0'],choice_0,[u'choice_0']
f0d26368493bf007f977e2494c02a558e3061574780c339afb376c10a106c31f,317bcf5e4502daebbbfab50d1a802aab,f,1992,hs,[u'choice_0'],choice_1,[u'choice_0']
56a36a7b0f34f89117a283136ce7090f132ca14f0107f65003c7cff5f8ae3345,062259371b79ade1be5a9c9c80c1611c,f,1993,m,[u'choice_0'],choice_1,[u'choice_0']
cab2650a023ffdbc49230f9070c4fcdd2c0f63d3d7fca4240a31f5e58624de5a,df883fa819daead8811b97a99f080858,m,1988,b,[u'choice_0'],choice_1,[u'choice_0']
d4eb6f3873f99838887116f60b0a7674e8c7a9aa1a6e2cfc5014667ece130f1a,03f078837d23f295d32a198d254c9b62,m,1967,b,"[u'choice_0', u'choice_1']",choice_0,[u'choice_0']
99e1ced04fa042a0520d6a865738476b957e6597f60ece0511476b1f36d47080,58c118d782df9e5eab3ceedabe52e29a,m,1990,m,[u'choice_6'],choice_1,[u'choice_0']
766f05fe4f2d01cce3bd7ced3ae0312cc88eb40a0ebe0dd8a626575e28290b37,4678f7056196f44544ab8d8e76c3d429,f,1951,b,[u'choice_6'],choice_1,[u'choice_0']
8c27a3b4f8af197c4bc29aea2799d0388b6339689e4e5126922f7996d8b80f98,a2e897771068e2f3c38b91994e74f1d0,m,1992,b,[u'choice_6'],choice_1,[u'choice_0']
4ce19d83125bd1fbd042f4ba7e8a3b397e14bc2d44be171e49ebd5436aa044e0,df1b5fd0d03ea41d0054ffbc4a7a801e,m,1962,m,[u'choice_0'],choice_1,[u'choice_0']
4d44f9442f6a60804a4d75a36f8e7104f136d083810088d086b8148f0162a982,3b6d28f6dc602d52fab16b2cb72c83e2,m,1988,m,[u'choice_0'],choice_1,[u'choice_0']
97e64738909b6ab4e7e44566c4bf068786a75695b2125e66fffdfb42a47736ff,b0829e35b1fd37202faece9d6165e251,f,1977,jhs,[u'choice_0'],choice_0,[u'choice_0']
998146b2a26da6bce981a307896063ea68c9d48005a97aba47e6179b214ec8aa,4f783eadfa01504c0f034bdc16aca99e,m,1986,b,[u'choice_6'],choice_0,[u'choice_0']
4f7b8453c9f611b1e88249e33c5e3b6ad998bfccaec86946d8a945e635d2600d,b21dcccf1f62232cfbe562f6226e61c9,f,1973,jhs,[u'choice_0'],choice_1,[u'choice_0']
df5cdf911a4c8b0fd2c2030169a8077168c6cf56129f0c9b1f3e0a60e58fcc13,bfb7aea37bb24198e4335b625ad1705e,m,1981,b,"[u'choice_0', u'choice_2', u'choice_4']",choice_1,[u'choice_0']
0534593711ed557adbf33e765759aa180b2a505317a60a05628891f133d62c93,5fd309de5c50779ffee15fdf2964fc22,m,1973,m,[u'choice_0'],choice_1,[u'choice_0']
68c7110a7a55d3d5e69165081a9d626e669e6dcb7e8777d5c3a12fa864c02fba,05ffc07a3b1cccd470782457464b442e,m,1989,b,[u'choice_0'],choice_1,[u'choice_0']
d0978d84bee9aa7d78add92c02b6801ddfd54ad6a917aff6e28df2a0f37ed27f,42ec3157734501d58646cc6ce2af3f9f,m,None,,[u'choice_4'],choice_0,[u'choice_0']
479b3528bf06d620ea81b9be41d4ada8d051cfb15f6ad22314f6cf1bd8e4ce5b,9bd68f3d0931a08df61e5325031b5cd3,m,1988,other,[u'choice_0'],choice_1,[u'choice_0']
1a28adc6d558a07d8c1b872323bd94f9e0c2c4ed9e63ffbe053298a28adb1cd0,e9caffea798e6a6ddf0ce50c3102012a,m,1965,b,"[u'choice_4', u'choice_7']",choice_0,[u'choice_0']
88350ef31c73efd1be9209f4f1ae0805f10cfc5fd2b49d0957ba01b31f564346,9af5f68f3ab8f8935308a9ae548bee8c,f,1993,jhs,[u'choice_6'],choice_1,[u'choice_0']
d5b66c814837ef021817278fa95b997bd73d483824770e58cc2342d0f039e1b3,24d3f33195bb64d0a21687bda8e437d3,m,1986,b,[u'choice_0'],choice_1,[u'choice_0']
9253e53713f60dbcacecf875b0e3c89354849f80b5649147b31d479025161fe6,48debdc6de17c5b2372d4c65f0fa494e,m,1990,m,[u'choice_0'],choice_1,[u'choice_0']
63450e77ae3c07d10255a65abd7a2173ad27a6c3f030b52b864ee71dc7da2592,68479634ebe4ed1c5563eafa02268abe,m,1992,b,[u'choice_0'],choice_1,[u'choice_0']
50a701eea0bfcc8286144537c27d0f3c02d7420d778099929ebbc64be7b7f876,5d9f274512b8e5d89461a34508b853a6,f,1963,m,[u'choice_4'],choice_1,[u'choice_0']
723a1ed60a932916e992dd5a4f5680069b491dc0e9e39fee73a806487aa9fb5d,6185e8055aa73f6817a35b728e2003c1,m,1988,b,[u'choice_0'],choice_0,[u'choice_0']
05e8b3d72aee445e52e422eb817a37cee90cd7bac8639105f222cf51c1406c30,5be652fefbca1707bb73808e827ad124,m,1993,m,[u'choice_4'],choice_1,[u'choice_0']
d48dab90b74d6bf2a119fe2bb0454bade8357a284975e6a176c949dc9daa836e,f81911055aeb5c24e2993d3434f6f95a,f,1991,m,[u'choice_0'],choice_0,[u'choice_0']
7c3e65ca5da37f22e8f156e7fc61ec4e23f0e69704cc1dc9665c729be33f0f46,e671775316e61a1410a3d4783561cce8,m,1980,b,[u'choice_0'],choice_1,[u'choice_0']
f4de89c67ce471cbd4fe538f0b6c58493bc133ac613d779693300e113dba8db1,bade6cbd556a37948cbca2c24029eb35,m,1980,b,[u'choice_6'],choice_0,[u'choice_0']
8781e951c9be07c526d529ef5cce6c6f9f1202bfb17f1e5710689c78e90b7c2e,26934f4eccd2839965e831964653229d,m,1979,hs,[u'choice_6'],choice_1,[u'choice_0']
e84daf1bc64544dd9c3312cd747a16d800bafa2ccdef56d280be5255b150ce7d,6ba89e21b9fbf0a17a677c27d6ea802b,m,1989,jhs,"[u'choice_0', u'choice_2']",choice_1,[u'choice_0']
3ca80683c0c9b6d87ee6c54995985ab35a5b0021e84d1da197cc4f125cf6282a,fb42102aa759ba322d7902fbb3bdc744,m,1977,m,[u'choice_0'],choice_1,[u'choice_0']
4dd3e6541433ebcd3fc2197376f1cd81ea4a2f268a37b1ccfbf9b1f11dff2766,55847f9c86bb160a32d5d08c339f84ec,f,1990,m,[u'choice_6'],NA,[u'choice_0']
